graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_3_2_0,3,2,1,"{(0, 1)}",1,2,0.0
Graph_3_3_0,3,3,2,"{(0, 1), (0, 2)}",6,14,0.0
Graph_4_3_0,4,3,1,"{(0, 1)}",1,1,0.0
Graph_4_4_0,4,4,1,"{(2, 3)}",2,7,0.0
Graph_4_5_0,4,5,2,"{(0, 1), (0, 3)}",15,56,0.0
Graph_4_6_0,4,6,3,"{(0, 1), (1, 2), (1, 3)}",41,158,0.0
Graph_5_4_0,5,4,1,"{(0, 1)}",1,3,0.0
Graph_5_6_0,5,6,1,"{(1, 3)}",6,29,0.0
Graph_5_8_0,5,8,3,"{(0, 1), (1, 2), (1, 3)}",92,453,0.0
Graph_5_10_0,5,10,4,"{(0, 1), (1, 2), (1, 3), (1, 4)}",385,1917,0.008185386657714844
Graph_6_5_0,6,5,1,"{(0, 1)}",1,3,0.0
Graph_6_8_0,6,8,2,"{(2, 3), (1, 2)}",36,207,0.0
Graph_6_12_0,6,12,3,"{(4, 5), (0, 4), (3, 4)}",298,1787,0.0033266544342041016
Graph_6_15_0,6,15,5,"{(0, 1), (1, 2), (1, 5), (1, 4), (1, 3)}",4943,29648,0.056513309478759766
Graph_7_6_0,7,6,1,"{(0, 4)}",1,4,0.0
Graph_7_11_0,7,11,2,"{(1, 6), (1, 2)}",66,455,0.0003962516784667969
Graph_7_16_0,7,16,3,"{(4, 5), (0, 4), (3, 4)}",696,4871,0.011868953704833984
Graph_7_21_0,7,21,6,"{(2, 4), (0, 4), (3, 4), (4, 6), (1, 4), (4, 5)}",82159,575101,1.251823902130127
Graph_8_7_0,8,7,1,"{(0, 1)}",1,4,0.0
Graph_8_7_1,8,7,1,"{(3, 4)}",1,7,0.0
Graph_8_7_2,8,7,1,"{(0, 4)}",1,7,0.0
Graph_8_7_3,8,7,1,"{(0, 4)}",1,5,0.0
Graph_8_7_4,8,7,1,"{(3, 7)}",1,7,0.0
Graph_8_8_0,8,8,1,"{(2, 7)}",2,15,0.0
Graph_8_8_1,8,8,1,"{(0, 1)}",1,4,0.0
Graph_8_8_2,8,8,1,"{(4, 6)}",4,31,0.0
Graph_8_8_3,8,8,1,"{(1, 2)}",1,7,0.0
Graph_8_8_4,8,8,1,"{(0, 7)}",1,2,0.0
Graph_8_15_0,8,15,1,"{(2, 5)}",14,111,0.0
Graph_8_15_1,8,15,3,"{(0, 1), (0, 2), (0, 6)}",575,4590,0.006947755813598633
Graph_8_15_2,8,15,2,"{(6, 7), (4, 7)}",120,958,0.0020117759704589844
Graph_8_15_3,8,15,1,"{(3, 5)}",15,119,0.0
Graph_8_15_4,8,15,2,"{(1, 7), (2, 7)}",120,959,0.0015304088592529297
Graph_8_22_0,8,22,3,"{(0, 3), (1, 3), (3, 6)}",1793,14343,0.03340888023376465
Graph_8_22_1,8,22,4,"{(0, 7), (3, 7), (6, 7), (4, 7)}",9108,72862,0.14827585220336914
Graph_8_22_2,8,22,4,"{(1, 6), (4, 6), (5, 6), (0, 6)}",9108,72862,0.16208529472351074
Graph_8_22_3,8,22,4,"{(0, 1), (0, 3), (0, 4), (0, 6)}",9108,72857,0.16339778900146484
Graph_8_22_4,8,22,4,"{(1, 2), (2, 5), (2, 6), (2, 7)}",9108,72863,0.15752601623535156
Graph_8_28_0,8,28,7,"{(3, 4), (3, 7), (0, 3), (2, 3), (3, 6), (1, 3), (3, 5)}",1683217,13465722,31.11918592453003
Graph_9_8_0,9,8,1,"{(3, 8)}",1,3,0.0
Graph_9_8_1,9,8,1,"{(6, 8)}",1,8,0.0
Graph_9_8_2,9,8,1,"{(0, 7)}",1,2,0.0
Graph_9_8_3,9,8,1,"{(3, 4)}",1,8,0.0
Graph_9_8_4,9,8,1,"{(0, 1)}",1,1,0.0
Graph_9_10_0,9,10,1,"{(3, 8)}",1,2,0.0
Graph_9_10_1,9,10,1,"{(1, 2)}",1,8,0.0
Graph_9_10_2,9,10,1,"{(4, 6)}",3,26,0.0
Graph_9_10_3,9,10,1,"{(3, 6)}",7,61,0.0007338523864746094
Graph_9_10_4,9,10,1,"{(5, 7)}",5,44,0.0
Graph_9_19_0,9,19,2,"{(5, 6), (0, 5)}",190,1709,0.0
Graph_9_19_1,9,19,2,"{(0, 3), (0, 6)}",190,1702,0.009305477142333984
Graph_9_19_2,9,19,2,"{(2, 5), (2, 8)}",190,1709,0.0
Graph_9_19_3,9,19,2,"{(2, 3), (1, 3)}",190,1709,0.009009838104248047
Graph_9_19_4,9,19,2,"{(0, 3), (0, 5)}",190,1701,0.004359245300292969
Graph_9_28_0,9,28,4,"{(2, 3), (3, 7), (1, 3), (3, 6)}",24157,217412,0.47350096702575684
Graph_9_28_1,9,28,4,"{(0, 2), (1, 2), (2, 6), (2, 4)}",24157,217412,0.48140788078308105
Graph_9_28_2,9,28,4,"{(1, 6), (1, 7), (1, 8), (1, 3)}",24157,217412,0.4797365665435791
Graph_9_28_3,9,28,5,"{(0, 1), (0, 4), (0, 3), (0, 2), (0, 5)}",122437,1101924,2.446354866027832
Graph_9_28_4,9,28,4,"{(1, 6), (1, 2), (1, 3), (1, 5)}",24157,217412,0.5523087978363037
Graph_9_36_0,9,36,-1,set(),0,0,-1762171430.2047977
Graph_10_9_0,10,9,1,"{(0, 1)}",1,6,0.0
Graph_10_9_1,10,9,1,"{(3, 4)}",1,8,0.0
Graph_10_9_2,10,9,1,"{(6, 9)}",1,6,0.00176239013671875
Graph_10_9_3,10,9,1,"{(0, 3)}",1,8,0.0
Graph_10_9_4,10,9,1,"{(3, 8)}",1,9,0.0
Graph_10_12_0,10,12,1,"{(1, 9)}",10,99,0.00201416015625
Graph_10_12_1,10,12,1,"{(2, 3)}",7,69,0.0020170211791992188
Graph_10_12_2,10,12,1,"{(3, 9)}",7,69,0.0025205612182617188
Graph_10_12_3,10,12,1,"{(3, 4)}",2,19,0.0
Graph_10_12_4,10,12,1,"{(3, 8)}",2,12,0.0
Graph_10_23_0,10,23,2,"{(2, 5), (5, 6)}",276,2759,0.052970170974731445
Graph_10_23_1,10,23,3,"{(5, 9), (0, 9), (1, 9)}",2047,20459,0.40656328201293945
Graph_10_23_2,10,23,3,"{(6, 7), (6, 8), (4, 6)}",2047,20468,0.19511008262634277
Graph_10_23_3,10,23,2,"{(0, 8), (8, 9)}",276,2759,0.02984023094177246
Graph_10_23_4,10,23,2,"{(3, 7), (3, 4)}",276,2759,0.01983046531677246
Graph_10_34_0,10,34,5,"{(0, 1), (0, 4), (0, 3), (0, 6), (0, 8)}",331211,3312101,13.541100978851318
Graph_10_34_1,10,34,5,"{(4, 9), (0, 9), (3, 9), (5, 9), (1, 9)}",331211,3312108,7.9804322719573975
Graph_10_34_2,10,34,5,"{(0, 1), (0, 4), (0, 3), (0, 6), (0, 2)}",331211,3312100,7.722548723220825
Graph_10_34_3,10,34,5,"{(4, 9), (0, 9), (7, 9), (3, 9), (6, 9)}",331211,3312108,7.638433933258057
Graph_10_34_4,10,34,6,"{(2, 4), (0, 4), (3, 4), (4, 9), (4, 8), (4, 7)}",1676115,16761147,38.18657469749451
Graph_10_45_0,10,45,-1,set(),0,0,-1762172183.3636677
Graph_11_10_0,11,10,1,"{(9, 10)}",1,8,0.0
Graph_11_10_1,11,10,1,"{(4, 10)}",1,2,0.0
Graph_11_10_2,11,10,1,"{(4, 10)}",1,7,0.0
Graph_11_10_3,11,10,1,"{(0, 1)}",1,4,0.0
Graph_11_10_4,11,10,1,"{(0, 1)}",1,9,0.0
Graph_11_14_0,11,14,1,"{(0, 10)}",2,12,0.0
Graph_11_14_1,11,14,1,"{(4, 7)}",8,87,0.0
Graph_11_14_2,11,14,1,"{(5, 8)}",5,54,0.0
Graph_11_14_3,11,14,1,"{(3, 7)}",5,54,0.0
Graph_11_14_4,11,14,1,"{(4, 9)}",2,21,0.0
Graph_11_28_0,11,28,2,"{(1, 3), (3, 10)}",406,4464,0.015707969665527344
Graph_11_28_1,11,28,3,"{(2, 3), (2, 6), (2, 7)}",3682,40501,0.0921773910522461
Graph_11_28_2,11,28,3,"{(8, 10), (6, 10), (0, 10)}",3682,40501,0.08435177803039551
Graph_11_28_3,11,28,3,"{(4, 9), (8, 9), (9, 10)}",3682,40499,0.08245468139648438
Graph_11_28_4,11,28,3,"{(6, 8), (8, 10), (4, 8)}",3682,40501,0.08193016052246094
Graph_11_42_0,11,42,4,"{(2, 3), (3, 7), (1, 3), (3, 10)}",124313,1367442,3.633969306945801
Graph_11_42_1,11,42,-1,set(),4357374,47931112,-1762172373.354813
Graph_11_42_2,11,42,-1,set(),3958748,43546226,-1762172506.6319895
Graph_11_42_3,11,42,-1,set(),4068582,44754401,-1762172639.2924097
Graph_11_42_4,11,42,5,"{(6, 8), (0, 6), (6, 7), (3, 6), (6, 9)}",974981,10724790,28.93959927558899
Graph_11_55_0,11,55,-1,set(),0,0,-1762172790.007369
Graph_12_11_0,12,11,1,"{(0, 1)}",1,4,0.0
Graph_12_11_1,12,11,1,"{(0, 4)}",1,2,0.0
Graph_12_11_2,12,11,1,"{(0, 1)}",1,1,0.0
Graph_12_11_3,12,11,1,"{(0, 10)}",1,11,0.0
Graph_12_11_4,12,11,1,"{(10, 11)}",1,7,0.0
Graph_12_17_0,12,17,1,"{(9, 10)}",2,23,0.0
Graph_12_17_1,12,17,1,"{(3, 8)}",4,47,0.0
Graph_12_17_2,12,17,1,"{(10, 11)}",1,11,0.0
Graph_12_17_3,12,17,1,"{(2, 7)}",5,58,0.0
Graph_12_17_4,12,17,1,"{(4, 9)}",3,35,0.0
Graph_12_34_0,12,34,2,"{(3, 11), (3, 6)}",595,7139,0.015083789825439453
Graph_12_34_1,12,34,3,"{(4, 5), (5, 11), (5, 6)}",6579,78946,0.20572519302368164
Graph_12_34_2,12,34,2,"{(3, 5), (3, 11)}",595,7139,0.01892709732055664
Graph_12_34_3,12,34,3,"{(0, 3), (0, 5), (0, 6)}",6579,78937,0.20575618743896484
Graph_12_34_4,12,34,4,"{(4, 9), (8, 9), (3, 9), (6, 9)}",52955,635459,1.5221679210662842
Graph_12_50_0,12,50,-1,set(),3177119,38125428,-1762172911.8595347
Graph_12_50_1,12,50,-1,set(),0,0,-1762173038.0360582
Graph_12_50_2,12,50,-1,set(),0,0,-1762173108.1104782
Graph_12_50_3,12,50,-1,set(),3293213,39518556,-1762173264.7723823
Graph_12_50_4,12,50,-1,set(),0,0,-1762173390.3333833
Graph_12_66_0,12,66,-1,set(),0,0,-1762173485.2257078
Graph_13_12_0,13,12,1,"{(4, 10)}",1,3,0.0
Graph_13_12_1,13,12,1,"{(5, 8)}",1,6,0.0
Graph_13_12_2,13,12,1,"{(9, 10)}",1,11,0.0
Graph_13_12_3,13,12,1,"{(1, 12)}",1,11,0.0
Graph_13_12_4,13,12,1,"{(0, 7)}",1,11,0.0
Graph_13_20_0,13,20,1,"{(0, 11)}",5,53,0.0
Graph_13_20_1,13,20,1,"{(3, 8)}",13,168,0.0
Graph_13_20_2,13,20,2,"{(4, 9), (9, 11)}",210,2727,0.0
Graph_13_20_3,13,20,1,"{(7, 9)}",13,168,0.0
Graph_13_20_4,13,20,1,"{(9, 11)}",5,64,0.0
Graph_13_40_0,13,40,3,"{(3, 10), (3, 11), (3, 6)}",10700,139099,0.32198143005371094
Graph_13_40_1,13,40,2,"{(2, 9), (1, 2)}",820,10659,0.028487443923950195
Graph_13_40_2,13,40,3,"{(0, 8), (8, 9), (6, 8)}",10700,139099,0.30794477462768555
Graph_13_40_3,13,40,2,"{(2, 11), (6, 11)}",820,10659,0.030353546142578125
Graph_13_40_4,13,40,4,"{(2, 9), (1, 2), (2, 11), (2, 7)}",102090,1327168,2.9525835514068604
Graph_13_59_0,13,59,-1,set(),0,0,-1762173572.581394
Graph_13_59_1,13,59,-1,set(),0,0,-1762173638.2606606
Graph_13_59_2,13,59,-1,set(),0,0,-1762173742.8435538
Graph_13_59_3,13,59,-1,set(),0,0,-1762173843.1838384
Graph_13_59_4,13,59,-1,set(),0,0,-1762173933.3776147
Graph_13_78_0,13,78,-1,set(),0,0,-1762174022.873902
Graph_14_13_0,14,13,1,"{(1, 12)}",1,13,0.0
Graph_14_13_1,14,13,1,"{(0, 7)}",1,12,0.0
Graph_14_13_2,14,13,1,"{(9, 10)}",1,13,0.0
Graph_14_13_3,14,13,1,"{(9, 10)}",1,7,0.0
Graph_14_13_4,14,13,1,"{(0, 1)}",1,1,0.0
Graph_14_23_0,14,23,1,"{(5, 9)}",10,139,0.015926122665405273
Graph_14_23_1,14,23,1,"{(8, 10)}",21,293,0.0
Graph_14_23_2,14,23,1,"{(3, 7)}",1,12,0.0
Graph_14_23_3,14,23,2,"{(6, 12), (2, 8)}",276,3845,0.0
Graph_14_23_4,14,23,1,"{(3, 8)}",18,251,0.0
Graph_14_46_0,14,46,2,"{(3, 13), (3, 10)}",1081,15133,0.0574040412902832
Graph_14_46_1,14,46,4,"{(0, 13), (6, 13), (12, 13), (7, 13)}",179446,2512242,6.646241664886475
Graph_14_46_2,14,46,4,"{(6, 12), (10, 12), (5, 12), (2, 12)}",179446,2512242,6.21368670463562
Graph_14_46_3,14,46,4,"{(12, 13), (4, 12), (5, 12), (2, 12)}",179446,2512243,6.25739049911499
Graph_14_46_4,14,46,4,"{(2, 10), (1, 2), (2, 11), (2, 7)}",179446,2512243,6.033568620681763
Graph_14_69_0,14,69,-1,set(),0,0,-1762174122.6630104
Graph_14_69_1,14,69,-1,set(),0,0,-1762174206.8301008
Graph_14_69_2,14,69,-1,set(),0,0,-1762174288.3033454
Graph_14_69_3,14,69,-1,set(),0,0,-1762174355.134624
Graph_14_69_4,14,69,-1,set(),0,0,-1762174463.347716
Graph_14_91_0,14,91,-1,set(),0,0,-1762174561.5768273
Graph_15_14_0,15,14,1,"{(0, 1)}",1,1,0.0
Graph_15_14_1,15,14,1,"{(9, 10)}",1,4,0.0
Graph_15_14_2,15,14,1,"{(0, 1)}",1,7,0.0
Graph_15_14_3,15,14,1,"{(0, 4)}",1,11,0.0
Graph_15_14_4,15,14,1,"{(6, 12)}",1,14,0.0
Graph_15_27_0,15,27,1,"{(2, 5)}",3,44,0.0
Graph_15_27_1,15,27,1,"{(0, 10)}",15,211,0.0
Graph_15_27_2,15,27,2,"{(9, 13), (12, 13)}",378,5667,0.020891666412353516
Graph_15_27_3,15,27,1,"{(2, 3)}",25,374,0.0
Graph_15_27_4,15,27,2,"{(4, 9), (9, 11)}",378,5665,0.01217031478881836
Graph_15_53_0,15,53,4,"{(1, 5), (2, 5), (5, 7), (0, 5)}",317682,4765229,13.034594297409058
Graph_15_53_1,15,53,-1,set(),3099653,46494794,-1762174647.1707735
Graph_15_53_2,15,53,-1,set(),3165739,47486083,-1762174772.0062711
Graph_15_53_3,15,53,-1,set(),3143518,47152769,-1762174898.0253196
Graph_15_53_4,15,53,4,"{(8, 14), (6, 8), (8, 9), (3, 8)}",317682,4765229,12.394164085388184
Graph_15_79_0,15,79,-1,set(),0,0,-1762175031.0079753
Graph_15_79_1,15,79,-1,set(),0,0,-1762175135.9486804
Graph_15_79_2,15,79,-1,set(),0,0,-1762175225.2628887
Graph_15_79_3,15,79,-1,set(),0,0,-1762175626.651219
Graph_15_79_4,15,79,-1,set(),0,0,-1762175707.8429892
Graph_15_105_0,15,105,-1,set(),0,0,-1762175772.7821147
Graph_16_16_0,16,16,1,"{(9, 10)}",3,47,0.0
Graph_16_16_1,16,16,1,"{(0, 7)}",2,28,0.0
Graph_16_16_2,16,16,1,"{(10, 15)}",2,30,0.0
Graph_16_16_3,16,16,1,"{(10, 14)}",1,13,0.0
Graph_16_16_4,16,16,1,"{(3, 8)}",1,15,0.0
Graph_16_31_0,16,31,2,"{(6, 15), (5, 6)}",496,7933,0.01597452163696289
Graph_16_31_1,16,31,1,"{(9, 13)}",17,271,0.0
Graph_16_31_2,16,31,2,"{(11, 14), (7, 14)}",496,7935,0.016013622283935547
Graph_16_31_3,16,31,2,"{(11, 12), (3, 11)}",496,7935,0.014344215393066406
Graph_16_31_4,16,31,1,"{(2, 4)}",18,287,0.0011594295501708984
Graph_16_61_0,16,61,2,"{(11, 12), (3, 11)}",1891,30255,0.09934401512145996
Graph_16_61_1,16,61,4,"{(2, 9), (2, 11), (2, 15), (2, 13)}",559736,8955775,26.215336084365845
Graph_16_61_2,16,61,-1,set(),2685983,42975727,-1762175886.2031171
Graph_16_61_3,16,61,-1,set(),2671438,42743008,-1762176017.862883
Graph_16_61_4,16,61,4,"{(8, 14), (8, 15), (5, 8), (2, 8)}",559736,8955775,25.31294870376587
Graph_16_91_0,16,91,-1,set(),0,0,-1762176164.6597102
Graph_16_91_1,16,91,-1,set(),0,0,-1762176241.09301
Graph_16_91_2,16,91,-1,set(),0,0,-1762176355.3085253
Graph_16_91_3,16,91,-1,set(),0,0,-1762176462.3046725
Graph_16_91_4,16,91,-1,set(),0,0,-1762176561.7208033
Graph_16_120_0,16,120,-1,set(),0,0,-1762176657.9432669
Graph_17_18_0,17,18,1,"{(3, 7)}",3,48,0.0
Graph_17_18_1,17,18,1,"{(4, 10)}",1,11,0.0
Graph_17_18_2,17,18,1,"{(0, 1)}",1,16,0.0
Graph_17_18_3,17,18,1,"{(0, 1)}",1,5,0.0
Graph_17_18_4,17,18,1,"{(11, 16)}",1,16,0.0
Graph_17_35_0,17,35,1,"{(6, 16)}",23,390,0.0
Graph_17_35_1,17,35,2,"{(9, 13), (4, 13)}",630,10709,0.014931201934814453
Graph_17_35_2,17,35,1,"{(14, 16)}",4,67,0.0
Graph_17_35_3,17,35,2,"{(5, 14), (5, 9)}",630,10708,0.03810453414916992
Graph_17_35_4,17,35,2,"{(12, 16), (12, 15)}",630,10707,0.026856660842895508
Graph_17_69_0,17,69,3,"{(11, 12), (11, 13), (3, 11)}",54809,931752,3.200246572494507
Graph_17_69_1,17,69,-1,set(),0,0,-1762176763.071636
Graph_17_69_2,17,69,-1,set(),2513934,42736878,-1762176867.682656
Graph_17_69_3,17,69,-1,set(),0,0,-1762176989.3462634
Graph_17_69_4,17,69,-1,set(),2590194,44033298,-1762177082.7095068
Graph_17_103_0,17,103,-1,set(),0,0,-1762177204.9238868
Graph_17_103_1,17,103,-1,set(),0,0,-1762177283.241292
Graph_17_103_2,17,103,-1,set(),0,0,-1762177421.805683
Graph_17_103_3,17,103,-1,set(),0,0,-1762177545.8193526
Graph_17_103_4,17,103,-1,set(),0,0,-1762177659.303972
Graph_17_136_0,17,136,-1,set(),0,0,-1762177762.2339628
Graph_18_20_0,18,20,1,"{(3, 10)}",3,50,0.0
Graph_18_20_1,18,20,1,"{(5, 16)}",2,35,0.0
Graph_18_20_2,18,20,1,"{(12, 15)}",7,125,0.0
Graph_18_20_3,18,20,1,"{(8, 12)}",1,17,0.0
Graph_18_20_4,18,20,1,"{(1, 6)}",1,17,0.0
Graph_18_39_0,18,39,1,"{(8, 14)}",25,449,0.00099945068359375
Graph_18_39_1,18,39,2,"{(12, 13), (12, 15)}",780,14039,0.02153611183166504
Graph_18_39_2,18,39,2,"{(0, 3), (0, 9)}",780,14022,0.027137279510498047
Graph_18_39_3,18,39,2,"{(5, 9), (5, 16)}",780,14036,0.02830648422241211
Graph_18_39_4,18,39,2,"{(12, 16), (4, 12)}",780,14038,0.032584428787231445
Graph_18_77_0,18,77,-1,set(),0,0,-1762177924.2530334
Graph_18_77_1,18,77,-1,set(),0,0,-1762178026.0040455
Graph_18_77_2,18,77,-1,set(),0,0,-1762178120.9393957
Graph_18_77_3,18,77,-1,set(),0,0,-1762178214.9378204
Graph_18_77_4,18,77,-1,set(),0,0,-1762178296.6551666
Graph_18_115_0,18,115,-1,set(),0,0,-1762178376.4381762
Graph_18_115_1,18,115,-1,set(),0,0,-1762178457.8099837
Graph_18_115_2,18,115,-1,set(),0,0,-1762178523.63599
Graph_18_115_3,18,115,-1,set(),0,0,-1762178634.9506893
Graph_18_115_4,18,115,-1,set(),0,0,-1762178736.4114964
Graph_18_153_0,18,153,-1,set(),0,0,-1762178823.6836655
Graph_19_22_0,19,22,1,"{(5, 16)}",2,37,0.0
Graph_19_22_1,19,22,1,"{(4, 6)}",3,56,0.0
Graph_19_22_2,19,22,1,"{(0, 5)}",4,58,0.0
Graph_19_22_3,19,22,1,"{(5, 7)}",4,74,0.0
Graph_19_22_4,19,22,1,"{(8, 12)}",1,18,0.0
Graph_19_43_0,19,43,1,"{(11, 17)}",11,208,0.0
Graph_19_43_1,19,43,2,"{(8, 14), (14, 16)}",946,17973,0.052698612213134766
Graph_19_43_2,19,43,2,"{(9, 11), (5, 9)}",946,17972,0.04711580276489258
Graph_19_43_3,19,43,1,"{(2, 5)}",8,151,0.0
Graph_19_43_4,19,43,2,"{(12, 16), (2, 16)}",946,17973,0.03638267517089844
Graph_19_86_0,19,86,-1,set(),1948386,37019334,-1762178957.192333
Graph_19_86_1,19,86,-1,set(),0,0,-1762179077.2987094
Graph_19_86_2,19,86,-1,set(),0,0,-1762179168.1936457
Graph_19_86_3,19,86,-1,set(),0,0,-1762179259.3793545
Graph_19_86_4,19,86,-1,set(),0,0,-1762179338.005094
